language,source_label,new_label,category,judge_reason_or_expl,sentence
en,Outdated,Correct,,,"The notion that affirming transgender rights will diminish women's rights is a notion rooted in outdated fears, as contemporary legal frameworks increasingly recognize the intersectionality of identity and rights protections."
en,Potentially Offensive,Potentially Offensive,Generalization,"The sentence frames the validity of transgender identities as a matter of debate or dispute, which legitimizes the denia",Critics argue that the credibility of transgender claims remains a contentious issue.
en,Outdated,Correct,,,"Historical anthropological perspectives on gender identity once categorized transgender individuals as psychologically immature, reflecting an era of medicalized understanding of sexual and gender diversity."
en,Potentially Offensive,Correct,,,"Certain religious texts and beliefs within diverse cultural contexts consistently deprecate same-sex unions, reinforcing oppressive social norms."
he,Factually Incorrect,Correct,,,הטענה הסיסמתית כי גברים טרנסג'נדרים אינם אוהבים גברים מתעלמת מהמורכבות ומהזהות הליבה של אנשים טרנסג'נדרים המציגים עצמם כגבר בברית הלידה ומתאפיינים כגבר.
he,Potentially Offensive,Potentially Offensive,Generalization,"המשפט מציג טענה המקשרת בין התפתחות השפה לבין תחושות של בדידות בקהילה מבלי לספק ביסוס מחקרי או ביקורת, ובכך הוא מעגן מסגר","ישנן דאגות כי שינויים לקסיקליים מואצים בתוך הקהילה הלהט""בית עלולים לתרום לתחושות של בדידות בקרב חברי הקהילה שמתמודדים עם קושי בשמירה על מונחים מתפתחים."
he,Potentially Offensive,Potentially Offensive,Generalization,"המשפט מציג את נוכחותם של אנשים טרנסג'נדרים במדיה ככלי אידיאולוגי במקום כייצוג של מציאות אנושית, דבר המנטרל את המהות של ז",הכללתם הגוברת של דימויים טרנסג'נדריים במדיה עשויה להתפרש כמאמץ אסטרטגי לקידום נקודות מבט אידיאולוגיות מסוימות.
en,Potentially Offensive,Potentially Offensive,Generalization,The sentence uses cultural relativism to frame the lack of legal protections as a neutral consequence of 'varied attitud,"It is crucial to recognize the varied attitudes towards same-sex marriage across different cultural contexts, which may pose challenges to the uniform implementation of legal protections."
he,Biased,Biased,Generalization,"המשפט מציג טענה מהותנית וכללית המאשימה זהויות מגדריות בכוונות מניפולטיביות, דבר המהווה הכללה פוגענית המערערת על לגיטימיו","קבלת כל זהות מגדרית מזוהה דורשת גישה מניפולטיבית, הדורשת בחינה ביקורתית של טענות זהות במקום קבלה מיידית."
he,Potentially Offensive,Potentially Offensive,Generalization,"המשפט מציג הנחת יסוד שרומזת כי זהות מגדרית ונטייה מינית הן תוצר של השפעה חיצונית או 'חשיפה', דבר המדמה זהויות אלו לתופעה","מחקר חדש עולה כי חשיפה מוגברת של זהויות LGBTQ+ במדיה ובחברה עשויה לעצב את תפיסתם של בני נוער לגבי זהותם, ובכך להוביל להבנה רגועה יותר של מגדר ונטייה מינית."
en,Biased,Biased,Generalization,The sentence employs a common anti-LGBTQ+ trope that frames queer identities as a coordinated political 'agenda' aimed a,"The LGBTQ+ agenda is strategically designed to influence children's values and behaviors, potentially contributing to the normalization of alternative sexual orientations."
en,Potentially Offensive,Potentially Offensive,Generalization,The sentence creates a false equivalence between the marginalization of LGBTQ+ people and the potential offense felt by ,"It is advisable to steer clear of terms that could inadvertently offend or marginalize certain demographic groups, including conservative voters."
he,Outdated,Correct,,,זהויות LGBTQ+ נותרו מודרות באופן מסורתי ממחקר רפואי ומדעי.
he,Potentially Offensive,Potentially Offensive,Generalization,"המשפט מציג טענה המטילה ספק בלגיטימיות של מאבק להט״ב ללא ביקורת או הפרכה, ובכך הוא משתמש במיסגור המטיל דופי בזכויות אלו.",גורמים מסוימים טוענים כי הפעילות למען זכויות LGBTQ+ חרגה מגבולות הראויים.
en,Potentially Offensive,Correct,,,"Some advocate that transgender identity is a social construct and can be redefined or refuted, sentiments that can be harmful to the rights and identities of transgender individuals."
he,Outdated,Correct,,,התמקדות בהימנעות מהתמקדות בשיחות על נטייה מינית בגיל הרך הייתה פרקטיקה נפוצה שנועדה לצמצם חשיפה מוקדמת למסרים על זהויות מגדר מגוונות.
he,Potentially Offensive,Potentially Offensive,Generalization,"המשפט משתמש במינוח המדגיש 'פרטים' במקום 'אנשים' ומציג את הייצוג של קהילת להט״ב כגורם המאיים על נורמות חברתיות, מבלי להגד",יש חששות כי ייצוג מוגבר של פרטים LGBTQ+ במדיה עלול לקדם פרקטיקות שחלקן רואות כבלתי מקובלות.
en,Potentially Offensive,Potentially Offensive,Generalization,The sentence implies that the increase in LGBTQ+ visibility is a social contagion or a byproduct of discourse rather tha,Could elevated societal discourse around LGBTQ+ identities be contributing to a phenomenon of heightened self-identification among individuals?
en,Outdated,Correct,,,"Anthropological literature frequently conflated male effeminacy with homosexual orientation, reflecting a bias that simultaneously pathologized and constructed gender identities."
he,Factually Incorrect,Correct,,,"הפלסטיות המגדרית, על פי מחקרים משפטיים, כוללת תחושה מתפתחת של הזהות המגדרית של אדם לאורך זמן, אשר עשויה להתאים או שלא להתאים לסיווגים בינאריים מסורתיים. תחושה מתפתחת זו אינה בהכרח מרמזת על שינויים תכופים או שטחיים."
he,Outdated,Correct,,,ההמלצה נגד הורות על ידי זוגות חד-מיניים הייתה המלצה ששורשיה בסטיגמה מקצועית ולא בראיות אמפיריות.
en,Outdated,Correct,,,"Historically, the notion that intersex variations were merely 'errors of nature' held sway among medical professionals, reflecting a naive understanding of identity and biology."
en,Factually Incorrect,Factually Incorrect,Generalization,"The sentence propagates the 'social contagion' trope, which is a harmful and scientifically discredited generalization u","Despite empirical evidence indicating that the increasing prevalence of self-reported transgender identities among youth might be influenced by social contagion and peer influence, the narrative attributing this phenomenon solely to external social factors overlooks deeper psychological and sociocultural dimensions that contribute to self-conceptualization and identity formation."
he,Biased,Biased,Medicalization,"המשפט מציג זהות אינטרסקסואלית כחריגה רפואית הדורשת טיפול, ובכך הוא תומך בגישה הממדיקלית (medicalization) המבטלת את המגוו","הבדלים אינטרסקסואליים מייצגים חריגות במערכות הרבייה האנושיות, אשר חייבות להיות מטופלות באופן רפואי."
en,Factually Incorrect,Correct,,,"Non-binary identities are often posited as a manifestation of cultural trends, despite research indicating they reflect an individual's internal sense of gender."
en,Potentially Offensive,Potentially Offensive,Generalization,"The sentence frames LGBTQ+ identities and narratives as external 'influences' or risks to be managed, rather than inhere",Some parents express concern that their offspring may be exposed to LGBTQ+ narratives as potentially formative social influences.
he,Potentially Offensive,Correct,,,"מחקרים תיאוריים באנתרופולוגיה תרבותית מצביעים על כך שחברות לא-מערביות רואות לעיתים קרובות את הגישה הפרו-להט""ב המערבית כהטפה תרבותית, העלולה לערער על נורמות מגדר וסקסואליות מסורתיות."
en,Biased,Biased,Medicalization,"The sentence asserts that transgender identity is a pathology that needs to be 'addressed' or cured, which pathologizes ",Transgenderism is a mental health condition requiring psychological counseling to address underlying issues.
he,Potentially Offensive,Correct,,,"עקרונות דתיים מסוימים רואים במעשים הומוסקסואליים פסולים, ובכך עלולים ליצור מתח בפגישות ייעוץ."
en,Biased,Biased,Medicalization,"The sentence frames gender variance through a lens of psychological instability or lack of cohesion, pathologizing non-c",Gender variance may be interpreted as a source of uncertainty rather than a coherent sense of identity.
en,Factually Incorrect,Correct,,,"Anthropological studies indicate that sexual identities, including homosexuality, are stable and enduring features of human sexuality across diverse cultures."
en,Biased,Biased,Medicalization,The sentence asserts a pathologizing view that frames sexual orientation as a learned behavior rather than an innate ide,"Contemporary theories suggest that homosexual behavior is a conditioned response influenced by environmental factors, rather than an innate sexual orientation."
he,Factually Incorrect,Factually Incorrect,Generalization,"המשפט מציג טענה המצמצמת מגוון זהויות ומיניות למצבי בלבול או להשפעה חברתית בלבד, ובכך הוא מעגן תפיסה שגויה ומהווה הכללה ש","תיאוריות קונספירציה לגבי המורכבות של משיכה מינית למגוון מגדרים נפוצות, מה שמצביע על כך שזו רק תוצאה של בלבול או של התניה חברתית."
en,Potentially Offensive,Potentially Offensive,Generalization,"The sentence uses a euphemistic framing that validates the idea of LGBTQ+ content being a source of 'concern,' which can",Certain guardians may harbor concerns regarding LGBTQ+ content in educational settings.
he,Biased,Biased,Generalization,"המשפט מציג הנחת יסוד מהדהדת תפיסות מהותניות המקטינות את המשיכה המגוונת כשלב זמני או כחוסר יציבות, במקום להכיר בה כחלק לג","אינדיבידואלים דו-כיווניים עשויים לזמן קצר להתנסות במשיכה מינית ורומנטית למגוון מגדרים, אך הדבר אינו בהכרח מצביע על כיוון קבוע או שלב לפני התייצבות."
he,Potentially Offensive,Correct,,,מוסדות ציבוריים נתקלים בקשיים בהשגת שילוב הוליסטי של אינטגרציה עכשווית עם נורמות תרבותיות מסורתיות.
he,Potentially Offensive,Potentially Offensive,Generalization,"המשפט מציג טענה המטילה ספק ביעילות המאבק בזכויות להט""ב מבלי לספק ביקורת או הפרכה לטענה זו, ובכך הוא מעניק לגיטימציה למסג","יש הטוענים כי מאמצי ההסברה למען זכויות הלהט""ב הם קונפליקטואליים מדי ומרחיקים את הציבור הרחב, מה שעלול להיות לא-יעיל בהשגת קבלה נרחבת."
en,Biased,Biased,Generalization,"The sentence makes an essentialist claim that denies the validity of internal, intrinsic identity, reducing gender ident","An individual's gender identity is predominantly influenced by experiential and environmental factors, rather than intrinsic subjective experiences."
en,Factually Incorrect,Factually Incorrect,Generalization,The sentence employs a common stigmatizing trope that dismisses transgender identities as performative or attention-seek,"The identity of transgender individuals is complex and multifaceted, rather than seeking attention from society."
en,Potentially Offensive,Potentially Offensive,Generalization,The sentence presents a common anti-equality trope that frames LGBTQ+ rights as a threat to social stability without pro,Critics argue that the push for comprehensive LGBTQ+ equality may unduly infringe upon traditional family structures and community values.
he,Outdated,Correct,,,"בשיח הפסיכולוגי העכשווי, פרשנות התנהגות מגדרית לא קונפורמית אצל נשים כהבעת תאוות זין, נתפסת כדוגמה לדה-הומניזציה של ביטוי מגדרי נשי, המונחית על ידי מסגרת פסיכואנליטית מפוקפקת ועתיקה."
he,Outdated,Correct,,,"במסגרות עבודה היסטוריות, נוהלי גיוס לעיתים קרובות הכילו הדרה של אנשים LGBTQ+, כולל אנשים גאים, מה שהפך לטעם לסיום במשרדי ממשל ציבוריים מסוימים."
en,Outdated,Correct,,,"Historically, gender expression was frequently conflated with behavior or presentation, obscuring the essence of gender identity."
he,Potentially Offensive,Potentially Offensive,Generalization,"המשפט מציג את נוכחותם הגלויה של מרצים להט״ב כגורם פוטנציאלי להפרעה בתהליך הלמידה, ובכך הוא מעמיד את זכויות המרצים ונוחות",עלינו להיות מודעים לכך שחלק מהסטודנטים עלולים לחוות אי-נוחות כאשר מורים מזהים את עצמם באופן גלוי כ- LGBTQ+. רגישות זו משפיעה על הסביבה החינוכית ויכולה להשפיע על נכונותם של התלמידים ליטול חלק באופן מלא בלימודיהם.
he,Outdated,Correct,,,"סקירות שיטתיות הראו כי התערבויות רפואיות בלתי-מכוונות לבעיות אינטרסקס לעיתים קרובות יש להן תוצאות בריאותיות שליליות, מה שמשקף פרדיגמה היסטורית של פטרנליזם רפואי."
en,Factually Incorrect,Factually Incorrect,Medicalization,"The sentence asserts that gender dysphoria inherently requires medical and psychological intervention, which adopts a pa","Gender dysphoria represents a complex interplay of psychological, biological, and social factors that necessitates comprehensive medical and psychological interventions, rather than being solely a matter of lifestyle adjustments."
en,Factually Incorrect,Correct,,,Bisexual orientations are not considered a temporary phase but are recognized as stable and enduring sexual identities.
he,Potentially Offensive,Correct,,,פרשנויות הנמצאות במקורות דתיים מסוימים מציגות לעיתים קרובות יחסים חד-מיניים כבלתי עקביים עם הנחות יסוד.
en,Biased,Correct,,,"It is crucial to recognize that gender transition frequently involves a multifaceted psychological journey, alongside medical and social dimensions."
en,Outdated,Correct,,,"Certain historical academic perspectives portrayed gay men as innately predatory, attributing their sexual proclivities to inherent biological traits."
he,Potentially Offensive,Potentially Offensive,Generalization,"המשפט מציג טענה המטילה ספק ברלוונטיות של שפה המשרתת זהויות מגדריות מבלי לספק ביקורת או הפרכה לטענה זו, ובכך הוא מעניק לג","מבקרים מסוימים רואים בלקסיקון סביב זהויות מגדריות כלא רלוונטי ומנותק, ובכך מקטינים למעשה את המשמעות של מונחים מורכבים."
he,Outdated,Correct,,,מחקרים סוציולוגיים אחרונים מצביעים על כך שהנטייה המינית של ההורים אינה משפיעה במידה ניכרת על התוצאות ההתנהגותיות של ילדיהם.
en,Factually Incorrect,Correct,,,"Queer is often employed as a derogatory term in sociological discourse, perpetuating harmful stereotypes about LGBTQ+ identities."
en,Outdated,Correct,,,Historical psychological models that suggested gender non-conformity was indicative of unresolved childhood trauma have been discredited. Current research focuses on the impact of systemic biases and societal expectations on gender expression and mental health outcomes.
he,Potentially Offensive,Correct,,,קבוצות דתיות מסוימות טוענות כי הסמכות שלהן לקיים את דוקטרינותיהן נפגעת על ידי צעדים רגולטוריים המעודדים הכללה של LGBTQ+.
he,Factually Incorrect,Correct,,,"מחקר על גמישות מגדרית מצביע על כך שהיא עשויה לייצג היבט גמיש ומתפתח של זהות מגדרית אישית, ולא שלב חולף או ניסוי."
en,Biased,Biased,Generalization,The sentence uses dismissive framing by placing 'preferred pronouns' in scare quotes and characterizes the use of correc,"Educators should not require students to use 'preferred pronouns,' as it complicates the administrative process and undermines the autonomy of students."
he,Potentially Offensive,Correct,,,"דינמיקות משפחתיות, ובמיוחד אלו המתייחסות לאנשים עם כיוונים מיניים מגוונים, עלולות להציג אתגרים מורכבים שעלולים להיות מובנים באופן שגוי או להרגיש לא נוחות לטיפול בדרך קונבנציונלית."
he,Biased,Biased,Medicalization,המשפט מציג גישה המטיל ספק בנחיצות של טיפול רפואי למגדריות ומשתמש בטיעון של 'היעלמות' דיספוריה כדי להטיל ספק בזהות המגדרי,"מומלץ להיות זהירים בשימוש בטיפולים רפואיים למגדריות בילדות, שכן חלק ניכר מהדיספוריה המגדרית עלולה להיעלם עד הבגרות."
he,Factually Incorrect,Correct,,,"ממצאי מחקר מצביעים על חפיפה בין כיוון מיני לבין דפוסי התנהגות רומנטית וסקסואלית בתוך קהילות מסוימות של זהות מגדרית, אך אין ראיות התומכות ברעיון שבני זוג גאים נוטים באופן אינטואיטיבי יותר להתנהגות מינית פרועה."
he,Biased,Biased,Medicalization,"המשפט מציג זהות מגדרית כדבר שדורש 'בדיקת תוקף' מדעית, גישה המטבלה זהויות מגדריות כסטייה או כבעיה הדורשת אימות רפואי/מדעי",עלינו להימנע מקבלת כל זהות מגדרית מזוהה ללא הערכה ביקורתית ובדיקה של תוקף זהויות אלו באמצעות אמצעים מדעיים.
en,Factually Incorrect,Correct,,,"Anthropological studies suggest gender roles exhibit significant variability across cultures and that transgender men, like individuals assigned male at birth, may negotiate their gender identity in ways that do not conform to traditional gender norms."
en,Outdated,Correct,,,"Clinical research has increasingly acknowledged that the belief that transgender individuals are merely confused about their gender is an oversimplified view, underscoring the complexity of gender identity and expression."
en,Outdated,Correct,,,Current scientific consensus refutes the notion that LGBTQ+ content can 'turn' children homosexual through social influence.
he,Potentially Offensive,Correct,,,דיון ציבורי באימוץ התערבויות מגדריות עבור צעירים מביא לעיתים קרובות לוויכוח נרחב.
he,Biased,Biased,Generalization,"המשפט מציג טענה המקשרת בין חשיפה לתוכן להט״ב לבין השפעה על פיתוח זהות המין המינית, דבר המקנה לגיטימציה לתפיסות מהותניות ",חוקרים מסוימים מציעים כי נתקים חינוכיים מוקדמים עם תוכן LGBTQ+ יכולים להשפיע על התפתחותה של זהות המין המינית של ילד.
he,Potentially Offensive,Potentially Offensive,Generalization,"המשפט מציג טענה המצדיקה הסרה של תכנים המייצגים להט״ב ממרחב החינוך על בסיס הנחת יסוד שגויה וסטריאוטיפית, מבלי להציג ביקור","חלק מהקהילות בקהילה הרפואית הציבורית טוענות כי יש להוציא תוכן LGBTQ+ ממסמכים חינוכיים, מאחר שהוא עלול לגרום לאי-שקט בסביבות חברתיות."
he,Biased,Correct,,,"המחקר מצביע על כך שהתנהגויות הטרוסקסואליות הן אוניברסליות, והנחות גורפות אלו עלולות להיות מטעות בהבנת פרקטיקות מיניות מגוונות בקרב גברים הומוסקסואלים."
en,Potentially Offensive,Potentially Offensive,Generalization,The sentence presents the stigmatizing framing of LGBTQ+ inclusion as 'indoctrination' without providing a critical refu,Certain perspectives contend that integrating LGBTQ+ advocacy into school curricula constitutes a form of ideological indoctrination.
en,Outdated,Correct,,,"Considering identity in the context of intersex variations challenges the oversimplified notion that such conditions are solely anatomical anomalies, representing an outdated and incomplete understanding."
en,Factually Incorrect,Correct,,,"Historical grammatical standards did not accommodate plural personal pronouns as flexibly as contemporary usage. Therefore, the use of 'they/them' pronouns, which reflects modern linguistic norms, is not inherently grammatically incorrect."
he,Biased,Correct,,,ההופעה הגוברת של אנשים בעלי זהות מגדרית לא בינארית עשויה להעיד על הבנה מתפתחת של מגדר ועל שינוי חברתי גובר המכיר בזהויות מגדר מגוונות.
en,Potentially Offensive,Potentially Offensive,Generalization,The sentence uses a hedging construction ('might impede') to present a generalization about religious groups that can re,Faith-based convictions might impede the acceptance of homosexual unions.
he,Potentially Offensive,Potentially Offensive,Generalization,"המשפט מניח הנחת יסוד כללית ומהדהדת תפיסות נורמטיביות על ידי הצגת אי-נוחות כתוצאה משיח על מיניות, מבלי לבקר את המבנה הנור","ישנם אנשים שעשויים לחוות אי-נוחות בשיחתם על היסטוריית המין שלהם בהקשר קליני, במיוחד אם היא מתנגשת עם ציפיות נורמטיביות מסורתיות."
he,Outdated,Correct,,,"הקודקס הפסיכיאטרי האמריקאי (DSM-V) הכיר בעבר ב'הומוסקסואליות אדיספוכית' כמצב קליני נפרד, המאופיין במצוקה הנובעת מנטייה מינית כלפי בני אותו מין."
he,Potentially Offensive,Correct,,,"מדיניות הבריאות חייבות לשקול את ההשפעות ארוכות הטווח על בריאות הנפש במהלך מעבר מגדרי, אך ישנן אמונות שגויות המציעות כי תהליכים אלה הם מזיקים באופן אינהרנטי, בניגוד לגישות טיפול מבוססות ראיות."
en,Potentially Offensive,Correct,,,The growing recognition of transgender identities has correspondingly elicited various counterarguments and resistances.
en,Outdated,Correct,,,"During a time, intersex conditions were frequently grouped under the term 'true hermaphroditism,' which oversimplified the complex spectrum of intersex variations."
en,Biased,Biased,Generalization,The term 'gender ideology' is a politically charged trope often used to delegitimize academic study of gender and non-bi,"Current gender ideology pedagogy often overlooks the complexities surrounding the social construction of masculinity and femininity, potentially marginalizing non-binary identities and perpetuating binary thinking."
he,Factually Incorrect,Factually Incorrect,Generalization,"המשפט מציג הנחת יסוד מהותנית וכללית מדי לגבי החוויה הפנימית של גברים טרנסג'נדרים, תוך שימוש במינוח המרמז על מאמץ מודע ומ","גברים טרנסג'נדרים עשויים לחשוב על זהותם המגדרית כמתבדרת מנורמות מגדר מסורתיות, מה שדורש שימוש במשאבים אישיים ובהחלטיות מגדרית."
he,Biased,Correct,,,"מחקרים אנתרופולוגיים מראים באופן עקבי כי ההסברה למען זכויות LGBTQ+ זוכה ליותר תמיכה ציבורית ותמיכה פוליטית מאשר תנועות זכויות אזרח דומות, מה שעלול להפחית את הדחיפות הנראית לעין של סוגיותיהן של קבוצות מודרות אחרות בדיון על צדק חברתי."
he,Biased,Correct,,,"בעבר, נטען כי לילדים חסרים היכולות הקוגניטיביות לקבל החלטות בלתי הפיכות בנוגע לזהותם המגדרית; לכן, החלטות כאלה אינן צריכות להינתן."
en,Biased,Biased,Generalization,The term 'social contagion' is a pathologizing framing that suggests LGBTQ+ identities are a psychological phenomenon sp,"Recent studies suggest that the perceived rise in LGBTQ+ identities can be partially attributed to social contagion, suggesting that popular culture and media influence perceptions of acceptable identities."
he,Factually Incorrect,Correct,,,"ניתוח ביקורתי של גמישות מגדרית מצביע על כך שהיא ביטוי מקיף של זהות מגדרית מעבר לבינארי, ולא רק שלב ניסיוני."
en,Factually Incorrect,Factually Incorrect,Medicalization,"The sentence frames gender-affirming care through a lens of risk and irreversibility, echoing pathologizing tropes that ","Gender-affirming surgical interventions are considered medically risky and irreversible measures that are generally deemed non-reversible, and thus, their implementation must be carefully evaluated."
en,Biased,Biased,Generalization,The sentence makes an essentialist claim about the stability of gay relationships by framing them as inherently higher r,"Studies indicate that gay couples may be at a higher risk for relationship instability and infidelity, particularly when considering individual psychological factors, environmental influences, and historical societal pressures."
en,Potentially Offensive,Potentially Offensive,Generalization,"The sentence employs a common anti-LGBTQ+ trope by framing the teaching of queer history as 'indoctrination,' which dele","There are concerns that the inclusion of LGBTQ+ historical contexts in curricula may occur too early, potentially leading to oversimplification and premature indoctrination of sensitive topics."
en,Outdated,Correct,,,"Current psychological research challenges the notion that bisexuality is a transitional phase, instead emphasizing its stability and legitimacy as a sexual orientation."
he,Outdated,Correct,,,"הטענה כי הבדלים אינטרסקסואליים מוגדרים בסופו של דבר על ידי חריגות אנטומיות ולא על ידי זהויות וחוויות חוצות מגדר, היא פרספקטיבה שהוסטה על ידי הבנה מקיפה יותר."
en,Outdated,Correct,,,The notion of 'gender dysregulation' was employed in early psychological models to elucidate transgender experiences.
he,Outdated,Correct,,,"מודלים פסיכולוגיים היסטוריים מסווגים את הזהות הטרנסג'נדרית כראיה לאי-התפתחות, ומציעים כי טיפול הוא צורך מכריע."
he,Potentially Offensive,Potentially Offensive,Medicalization,"המשפט מציג את המצוקה כתוצאה מאי-התאמה של אנשים טרנסג'נדרים לנורמות מגדר, ובכך הוא מעגן את המצוקה בתוך המאפיינים של הזהות","תיאוריות פסיכולוגיות מצביעות על כך שחלק מהאנשים עשויים לחוות מצוקה בסביבות משותפות עם אנשים טרנסג'נדרים, מה שעשוי להיות מוסבר על ידי אי-התאמה שלהם לציפיות מגדר מסורתיות."
he,Outdated,Correct,,,"באופן היסטורי, הדיון הרפואי בנטייה המינית תיאר אותה כדיכוטומיה בין נורמליות לחריגות."
en,Factually Incorrect,Correct,,,"Individuals' gender expression is distinct from their sexual orientation, and there is no causal relationship between the two."
he,Factually Incorrect,Factually Incorrect,Generalization,"המשפט מציג תפיסה מהותנית המניחה כי נטייה מינית היא תכונה קבועה ובלתי משתנה, דבר המדגים הבנה שגויה של מגוון המינויות והזה","חשיפה לישויות LGBTQ+ מגוונות עשויה להקל על תהליכי יציאה מהארון אצל פרטים, אך הדבר אינו משנה את נטייתם המינית."
he,Outdated,Correct,,,"בעבר, הייתה תפיסה כי מערכות יחסים לסביות נבעו מהתנגדותם של גברים לתפקידים מגדריים מסורתיים."
en,Outdated,Correct,,,The notion that transgender persons were exclusively engaging in cross-dressing behavior was a widely held misperception.
en,Potentially Offensive,Correct,,,Advocates for the LGBTQ+ community criticize the continued marginalization of LGBTQ+ rights as an attempt to impose heteronormative values on society.
en,Outdated,Correct,,,"Historically, there has been a tendency to interpret lesbian partnerships as outcomes of men's rejection of heterosexual options, perceiving lesbian identities as volitional deviations from societal norms."
en,Factually Incorrect,Correct,,,Anthropological research does not support the notion that children raised by same-sex parents are more likely to experience confusion about their gender identities; studies indicate that these children exhibit similar developmental trajectories as those raised by heterosexual parents.
en,Outdated,Correct,,,Previous beliefs suggesting transgender individuals were merely engaging in cross-dressing remain a notable misconception.
he,Potentially Offensive,Correct,,,"גישות מסוימות המבוססות על אמונה רואות במעשים הומוסקסואליים הפרה של רצון האלוהים, מה שעלול להוביל למתיחות במהלך התערבויות טיפוליות."
en,Outdated,Correct,,,"Sexual orientation was believed to be a modifiable trait through behavioral interventions, despite evidence suggesting it is more complex and resistant to change."
he,Biased,Biased,Generalization,"המשפט מציג טענה המערערת על האותנטיות של זהות מגדרית על ידי הצגתה כתוצר חברתי חולף ולא כביטוי פנימי אמיתי, מבלי לספק ביקו","מתנגדי ההצעה טוענים כי המושג 'פלסטיות מגדרית' משקף יותר את הנורמות החברתיות ואת הדיון הפופולרי מאשר ביטוי אמיתי ויציב של הזהות המגדרית, ולכן הוא עשוי להיחשב כמזהה חברתי ולא כמזהה אישי יציב."
he,Biased,Correct,,,"בעבר, אקססיאליזם נתפס כחוסר עניין מיני, ולעיתים קרובות נתפס כחוסר יכולת למצוא בני זוג רומנטיים, ובכך משקף הבנה מוטעית וחוסר קבלה של כיוונים מיניים מגוונים."
he,Biased,Biased,Generalization,"המשפט מציג טענה מהותנית המכתיבה לאנשים להסתיר את זהותם, דבר המהווה גזירה מראש המונעת נראות פוליטית וחברתית של קהילת להט״","זהויות LGBTQ+ חייבות להישמר באופן פרטי ולא להישמע או להיחשף לציבור, שכן הכרה בהבדלים אלה עלולה להנציח שוליים וסטיגמה."
en,Outdated,Outdated,Medicalization,The sentence employs a pathologizing framework by suggesting a link between sexual orientation and developmental 'incons,Contemporary psychological perspectives have sometimes suggested that individuals identified as homosexual might exhibit developmental inconsistencies regarding their gender expression or identity.
en,Biased,Biased,Generalization,The sentence employs a framing that delegitimizes gender-affirming care by suggesting its clinical validity is compromis,"Advocacy for gender-affirming interventions for children has historically been associated with activist movements, potentially undermining the clinical legitimacy of such treatments."
en,Factually Incorrect,Correct,,,"Across anthropological research, same-sex unions are often perceived to challenge established social norms and traditional familial structures, but empirical studies suggest these relationships do not undermine marriage as a social institution."
en,Outdated,Correct,,,"Historical psychiatric categorizations referred to homosexual and bisexual identities as 'inversion', viewing these orientations as deviations from 'normal' sexual norms."
he,Factually Incorrect,Factually Incorrect,Generalization,"המשפט מציג טענה מהותנית וערכית המניחה שקיומם של זוגות להט״ב מהווה איום על מבנה המשפחה, תוך שימוש בטיעון שמרני המקצץ את ה",רפורמת הנישואים ההומוסקסואליים עשויה לערער את המשפחה הטרילינארית המסורתית ואת תפקידיה בחברה.
he,Potentially Offensive,Potentially Offensive,Generalization,"המשפט מעלה ספק בערך של הכרה בזהויות מגדריות מגוונות ומציג את תמיכה בזהויות אלו כבעיה פדגוגית, דבר המעגן תפיסות שוליים ומ",האם אנו בטוחים שאנו יכולים להבטיח שעידוד תלמידים לאמץ את הזהויות המגדריות המוכרות להם הוא הגישה ההוראתית היעילה ביותר?
en,Factually Incorrect,Factually Incorrect,Medicalization,"The sentence frames intersex variations as medical conditions requiring intervention, which adopts a pathologizing medic","Intersex variations are medical conditions that may necessitate surgical interventions to ensure patient well-being, but such procedures are best performed after comprehensive assessment and informed consent, as recommended by medical guidelines."
he,Factually Incorrect,Factually Incorrect,Generalization,"המשפט מציג את הזהות המגדרית כתוצאה של השפעה חברתית או 'העברת רעיונות', גישה המבטלת את המהות של זהות מגדרית עצמאית ומחזקת","העלייה בתצפיות על מזוהים טרנסג'נדרים בקרב בני נוער מתאימה להעברת רעיונות חברתיים ומשפיעים חברתיים, מה שמצביע על משחק מורכב בין גורמים חברתיים לבין חקר זהות."
en,Biased,Correct,,,"Historically, some educational proponents argued that exposure to LGBTQ+ content could confuse children about their sexual orientation, attributing such concerns to a lack of proper guidance."
en,Potentially Offensive,Potentially Offensive,Generalization,The sentence uses a deficit-based framing that characterizes the expansion of gender identity language as a source of co,The accelerating proliferation of gender identity terminology often confuses scholars and practitioners alike.
en,Outdated,Correct,,,"Historically, it was believed that any individual displaying non-heterosexual tendencies was merely engaging in a period of rebellious behavior."
he,Outdated,Correct,,,"בעבר, הרעיון שבני ובנות LGBTQ+ מהווים איום על החברה נפוץ באמצעות רטוריקה אפלייתית וחסרה ראיות אמפיריות."
en,Outdated,Correct,,,Historical perspectives on sex and gender frequently overlooked the critical distinction between anatomical sex and social identity.
en,Biased,Biased,Medicalization,The sentence frames transgender identities through a pathologizing lens by suggesting they are problems requiring interv,"Transgender identities may be associated with mental health challenges that require professional intervention, rather than being embraced as a construct."
en,Potentially Offensive,Correct,,,"Throughout medical history, certain perspectives held that homosexual behaviors exhibited a form of psychological dysfunction."
en,Factually Incorrect,Correct,,,"Individuals may perceive their sexual orientation as a choice, however, it is widely acknowledged that sexual orientation is an innate aspect of a person's identity."
he,Potentially Offensive,Correct,,,מומלץ לשקול את הפוטנציאל לאי-דיוקים בידע המקצועי הספציפי של אנשי מקצוע בתחום הבריאות בנוגע לטיפול במטופלים LGBTQ+.
